page_name,parent_comment_id,parent_comment_message,reply_comment_message,comment_id,created_time,comment_like_cnt
"fifaworldcup","2283204071695427_2284825598199941","Who is the best player Right now?ğŸ¤”1. Like for  #Ronaldo ğŸ‘ ğŸ‡µğŸ‡¹2. Wow  for #LeMessi ğŸ˜®ğŸ‡¦ğŸ‡·3. Love for #Mo_SalahğŸ’ğŸ‡ªğŸ‡¬4. Haha for #NeymarğŸ˜‚ğŸ‡§ğŸ‡·","Not other than Ronaldo","2283204071695427_2285121721503662","2018-06-20T12:19:41+0000","0"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","Except saudi","2283204071695427_2284926721523162","2018-06-20T10:14:07+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","If they score any goal it will be conciderd as win ok","2283204071695427_2284928461522988","2018-06-20T10:15:15+0000","0"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","It won't be unless they win the match itself","2283204071695427_2284930948189406","2018-06-20T10:17:02+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","Just one goal is not a win, its a team not kids playing","2283204071695427_2284935314855636","2018-06-20T10:19:36+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","I hope i will be alive to wetness your national team at least qualifying to the Asian qualifiers final round","2283204071695427_2284975914851576","2018-06-20T10:48:46+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","Dont mind khalidWe support ur team n realy happy to ur team in this world cupbut if u lose u should score some alsoLast nite egypt played well but failed to scoreU cant stop them scoring but u have to score when u get a chance no need to play defencive","2283204071695427_2284995711516263","2018-06-20T11:01:23+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","N khalidThe football is made in pakistan","2283204071695427_2284997731516061","2018-06-20T11:02:36+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","Morroco 1-1 Portugal","2283204071695427_2285032731512561","2018-06-20T11:25:19+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","No reedRonaldo will must score","2283204071695427_2285034638179037","2018-06-20T11:26:35+0000","1"
"fifaworldcup","2283204071695427_2284911328191368","Best of luck today forIranSaudiMoroco","Of course he will score that 1goal","2283204071695427_2285051871510647","2018-06-20T11:37:14+0000","0"
"fifaworldcup","2283204071695427_2284806271535207","Bounce back to another defeat. Uruguay must win them.","Uruguay with who will play?","2283204071695427_2284810054868162","2018-06-20T09:08:14+0000","0"
"fifaworldcup","2283204071695427_2284806271535207","Bounce back to another defeat. Uruguay must win them.","Saudi Arabia.","2283204071695427_2284852688197232","2018-06-20T09:31:25+0000","0"
"fifaworldcup","2283204071695427_2284806271535207","Bounce back to another defeat. Uruguay must win them.","Saudi Arabia  am sorry because u guys wont get any point 4m all ur matches wht a bad performance","2283204071695427_2285243854824782","2018-06-20T13:21:50+0000","0"
"fifaworldcup","2283204071695427_2284819658200535","Check the confidence. ..lol get ready for 10-0 result","I think so too. Saudi players don't play in Europe, so they lack experience compare to Japan, Korea, Iran and Australia. KSA might be strong in Asia, but the world cup is much higher than Asia in level. No matter how much billion dollar KSA and China paid for great foreign coach and players, your team can never get strong. Japan is allied with Germany, and now sending a lot of promising young talents to German Bundesliga. And from Germany, Japanese players can play from all over Europe. Now 80% of Japanese players are belonging to European clubs, and we are no longer Asian team. Saudi players all look scared sheep to me...","2283204071695427_2284865958195905","2018-06-20T09:38:55+0000","2"
"fifaworldcup","2283204071695427_2284819658200535","Check the confidence. ..lol get ready for 10-0 result","u r wrong. Saudi arabia will win inshallah","2283204071695427_2284883751527459","2018-06-20T09:49:52+0000","2"
"fifaworldcup","2283204071695427_2284819658200535","Check the confidence. ..lol get ready for 10-0 result","If ur face not beautifull u can talk beautifully at least","2283204071695427_2284912901524544","2018-06-20T10:04:55+0000","0"
"fifaworldcup","2283204071695427_2284819658200535","Check the confidence. ..lol get ready for 10-0 result","Yes u right","2283204071695427_2284922934856874","2018-06-20T10:11:25+0000","0"
"fifaworldcup","2283204071695427_2284846911531143","My life these days :  sleep --> eat --> watch fifa world cup match --> repeat","Same meğŸ˜‚","2283204071695427_2284905348191966","2018-06-20T10:00:20+0000","1"
"fifaworldcup","2283204071695427_2284813148201186","After a heavy defeat against the host...now Saudi Arabia is ready for a premium first class flight home.","Dan, are you very funğŸ˜‚","2283204071695427_2284817584867409","2018-06-20T09:13:04+0000","1"
"fifaworldcup","2283204071695427_2284813148201186","After a heavy defeat against the host...now Saudi Arabia is ready for a premium first class flight home.","","2283204071695427_2284937884855379","2018-06-20T10:21:31+0000","0"
"fifaworldcup","2283204071695427_2284798044869363","Who Will Win The World Cup?1. Like ğŸ‘ğŸ»for #Brasil ğŸ‡§ğŸ‡·2. Love â¤ï¸for #Argentina ğŸ‡¦ğŸ‡·3. Haha ğŸ˜‚ for #GermanyğŸ‡©ğŸ‡ª4. Wow ğŸ˜¯ for #PortugalğŸ‡µğŸ‡¹5. Sad ğŸ˜¢ for #SpainğŸ‡ªğŸ‡¸6. AngryğŸ˜  for #Others","Dislike ğŸ˜’ for #Italy","2283204071695427_2284801768202324","2018-06-20T09:03:15+0000","1"
"fifaworldcup","2283204071695427_2284798044869363","Who Will Win The World Cup?1. Like ğŸ‘ğŸ»for #Brasil ğŸ‡§ğŸ‡·2. Love â¤ï¸for #Argentina ğŸ‡¦ğŸ‡·3. Haha ğŸ˜‚ for #GermanyğŸ‡©ğŸ‡ª4. Wow ğŸ˜¯ for #PortugalğŸ‡µğŸ‡¹5. Sad ğŸ˜¢ for #SpainğŸ‡ªğŸ‡¸6. AngryğŸ˜  for #Others","And what happen with #Colombia?","2283204071695427_2284803621535472","2018-06-20T09:04:07+0000","1"
"fifaworldcup","2283204071695427_2284798044869363","Who Will Win The World Cup?1. Like ğŸ‘ğŸ»for #Brasil ğŸ‡§ğŸ‡·2. Love â¤ï¸for #Argentina ğŸ‡¦ğŸ‡·3. Haha ğŸ˜‚ for #GermanyğŸ‡©ğŸ‡ª4. Wow ğŸ˜¯ for #PortugalğŸ‡µğŸ‡¹5. Sad ğŸ˜¢ for #SpainğŸ‡ªğŸ‡¸6. AngryğŸ˜  for #Others","Mexico will win","2283204071695427_2284820084867159","2018-06-20T09:14:31+0000","0"
"fifaworldcup","2283204071695427_2284798044869363","Who Will Win The World Cup?1. Like ğŸ‘ğŸ»for #Brasil ğŸ‡§ğŸ‡·2. Love â¤ï¸for #Argentina ğŸ‡¦ğŸ‡·3. Haha ğŸ˜‚ for #GermanyğŸ‡©ğŸ‡ª4. Wow ğŸ˜¯ for #PortugalğŸ‡µğŸ‡¹5. Sad ğŸ˜¢ for #SpainğŸ‡ªğŸ‡¸6. AngryğŸ˜  for #Others","philipines ğŸ˜­","2283204071695427_2285065301509304","2018-06-20T11:45:10+0000","0"
"fifaworldcup","2283204071695427_2284862311529603","Viva ğŸ‡¸ğŸ‡¦ , wish you all the best of luck. ğŸ‡ºğŸ‡¾ is hard competence but yet we Saudi Arabia ğŸ‡¸ğŸ‡¦ can do it.","Ø¥Ù† Ø´Ø§Ø¡ Ø§Ù„Ù„Ù‡","2283204071695427_2285038454845322","2018-06-20T11:29:10+0000","0"
"fifaworldcup","2283204071695427_2284862311529603","Viva ğŸ‡¸ğŸ‡¦ , wish you all the best of luck. ğŸ‡ºğŸ‡¾ is hard competence but yet we Saudi Arabia ğŸ‡¸ğŸ‡¦ can do it.","ØªØ­ÙŠØ© Ù…Ù† ØªÙˆÙ†Ø³ Ù„Ø´Ø¹Ø¨ Ø§Ù„Ø¬Ø²ÙŠØ±Ø© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ùˆ Ø§Ù„Ù„Ù‡ Ù„Ø§ ØªØ±Ø¨Ø­ Ø¢Ù„ Ø³Ù„ÙˆÙ„ ÙˆØ­ÙƒØ§Ù…Ù‡Ø§  Ø§Ù„ÙƒÙ„Ø§Ø¨ Ø¹Ù…Ù„Ø§Ø¡ ØªØ±Ø§Ù…Ø¨ Ùˆ Ø¥Ù†Ø´Ø§Ø¡ Ø§Ù„Ù„Ù‡ Ù„Ù† ÙŠØ³ØªØ·ÙŠØ¹ÙˆØ§ Ø¯Ø®ÙˆÙ„ Ù…ÙƒØ© Ø§Ù„Ù…ÙƒØ±Ù…Ø© !!","2283204071695427_2285655294783638","2018-06-20T15:58:24+0000","0"
"fifaworldcup","2283204071695427_2284817011534133","Theoretically, yes and ambition is required .. But based on the performance of our team in their first encounter against the russians, I guess it won't be an easy task. Uruguay players want to qualify and they are expected to do their best accomplish the task ..","And what's your team?","2283204071695427_2284831261532708","2018-06-20T09:21:13+0000","0"
"fifaworldcup","2283204071695427_2284817011534133","Theoretically, yes and ambition is required .. But based on the performance of our team in their first encounter against the russians, I guess it won't be an easy task. Uruguay players want to qualify and they are expected to do their best accomplish the task ..","Saudi Arabian team. This is what I said, they showed poor performance against the russians. Chances (based on the performance) are very slim to qualify although theoretically (based on remaining matches) there is a chance. We are meeting a high caliper (Uruguay) and it is odds won't be in our favour of course ..","2283204071695427_2284838321532002","2018-06-20T09:25:29+0000","0"
"fifaworldcup","2284587128223788_2284742261541608","Happy birthday and good luck for today's match â¤","Can you speak English?","2284587128223788_2284773194871848","2018-06-20T08:44:59+0000","0"
"fifaworldcup","2284587128223788_2284742261541608","Happy birthday and good luck for today's match â¤","It's spain!! You can't win LOL","2284587128223788_2284792181536616","2018-06-20T08:57:54+0000","0"
"fifaworldcup","2284587128223788_2284742261541608","Happy birthday and good luck for today's match â¤","Mostafa Alaa can you??ğŸ˜‚ğŸ˜‚ğŸ˜‚","2284587128223788_2284808758201625","2018-06-20T09:07:24+0000","0"
"fifaworldcup","2284587128223788_2284742261541608","Happy birthday and good luck for today's match â¤","Its from","2284587128223788_2284853934863774","2018-06-20T09:32:27+0000","0"
"fifaworldcup","2284587128223788_2284742261541608","Happy birthday and good luck for today's match â¤","Mostafa Alaa whatever mr â€œmostarahâ€!! Lol, look it up! Nice name lol","2284587128223788_2285550004794167","2018-06-20T15:17:32+0000","0"
"fifaworldcup","2284587128223788_2284725911543243","Touch your team color ğŸ‘‡ below to get the vibe. It really works ğŸ˜² Vamos Argentina ğŸ‡¦ğŸ‡·Come on Belgium  ğŸ‡§ğŸ‡ªCome on england  ğŸ‡«ğŸ‡´Vai Brasil  ğŸ‡§ğŸ‡·Forca Portugal  ğŸ‡µğŸ‡¹auf geht's deutschland  ğŸ‡©ğŸ‡ªAllez les bleus  ğŸ‡«ğŸ‡·Vamos espanavamos mÃ©xicoGooaal  âš½ï¸âš½ï¸","That isnâ€™t the English flag.","2284587128223788_2284728954876272","2018-06-20T08:16:56+0000","0"
"fifaworldcup","2284587128223788_2284725911543243","Touch your team color ğŸ‘‡ below to get the vibe. It really works ğŸ˜² Vamos Argentina ğŸ‡¦ğŸ‡·Come on Belgium  ğŸ‡§ğŸ‡ªCome on england  ğŸ‡«ğŸ‡´Vai Brasil  ğŸ‡§ğŸ‡·Forca Portugal  ğŸ‡µğŸ‡¹auf geht's deutschland  ğŸ‡©ğŸ‡ªAllez les bleus  ğŸ‡«ğŸ‡·Vamos espanavamos mÃ©xicoGooaal  âš½ï¸âš½ï¸","What is the animation for morocco ? And for Japan ?","2284587128223788_2284731368209364","2018-06-20T08:18:34+0000","0"
"fifaworldcup","2284587128223788_2284725911543243","Touch your team color ğŸ‘‡ below to get the vibe. It really works ğŸ˜² Vamos Argentina ğŸ‡¦ğŸ‡·Come on Belgium  ğŸ‡§ğŸ‡ªCome on england  ğŸ‡«ğŸ‡´Vai Brasil  ğŸ‡§ğŸ‡·Forca Portugal  ğŸ‡µğŸ‡¹auf geht's deutschland  ğŸ‡©ğŸ‡ªAllez les bleus  ğŸ‡«ğŸ‡·Vamos espanavamos mÃ©xicoGooaal  âš½ï¸âš½ï¸","Grant Thomson  that only is showing in FB emojis","2284587128223788_2284736214875546","2018-06-20T08:22:07+0000","0"
"fifaworldcup","2284587128223788_2284725911543243","Touch your team color ğŸ‘‡ below to get the vibe. It really works ğŸ˜² Vamos Argentina ğŸ‡¦ğŸ‡·Come on Belgium  ğŸ‡§ğŸ‡ªCome on england  ğŸ‡«ğŸ‡´Vai Brasil  ğŸ‡§ğŸ‡·Forca Portugal  ğŸ‡µğŸ‡¹auf geht's deutschland  ğŸ‡©ğŸ‡ªAllez les bleus  ğŸ‡«ğŸ‡·Vamos espanavamos mÃ©xicoGooaal  âš½ï¸âš½ï¸","Go Faroe Islands!","2284587128223788_2284773141538520","2018-06-20T08:44:57+0000","0"
